from_code,to_code,count,flightdistance,flighttime,airline
ATW,CVG,697,"411 miles / 661 km","1 hour, 19 minutes",<undefined>
ATW,DSM,1,"322 miles / 518 km","1 hour, 9 minutes",<undefined>
ATW,DTW,1020,"296 miles / 477 km","51 minutes",<undefined>
ATW,MKE,1032,"96 miles / 154 km","41 minutes",<undefined>
ATW,MSP,90,"236 miles / 380 km","46 minutes",<undefined>
ATW,ORD,2288,"160 miles / 258 km","35 minutes",<undefined>
ATW,XNA,1,"629 miles / 1013 km","1 hour, 46 minutes",<undefined>
AUS,ABQ,435,"619 miles / 996 km","1 hour, 44 minutes",<undefined>
AUS,ATL,2252,"813 miles / 1308 km","1 hour, 45 minutes",<undefined>
AUS,BNA,792,"756 miles / 1217 km","1 hour, 38 minutes",Southwest Airlines
AUS,BOS,368,"1,698 miles / 2732 km","3 hours, 24 minutes",<undefined>
AUS,BWI,730,"1,342 miles / 2160 km","2 hours, 47 minutes",Southwest Airlines
AUS,CLE,380,"1,174 miles / 1890 km","2 hours, 51 minutes",<undefined>
AUS,CLT,659,"1,032 miles / 1662 km","2 hours, 10 minutes",<undefined>
AUS,CVG,653,"959 miles / 1543 km","2 hours, 25 minutes",<undefined>
AUS,DAL,5573,"189 miles / 304 km","39 minutes",Southwest Airlines
AUS,DEN,2673,"775 miles / 1247 km","1 hour, 50 minutes",Southwest Airlines
AUS,DFW,5506,"190 miles / 306 km","40 minutes",<undefined>
AUS,DSM,1,"813 miles / 1309 km","2 hours, 8 minutes",<undefined>
AUS,DTW,1,"1,148 miles / 1848 km","2 hours, 28 minutes",Spirit Airlines
AUS,ELP,1349,"528 miles / 850 km","1 hour, 17 minutes",Southwest Airlines
AUS,EWR,949,"1,503 miles / 2419 km","3 hours, 13 minutes",<undefined>
AUS,FLL,481,"1,105 miles / 1779 km","2 hours, 19 minutes",Southwest Airlines
AUS,HOU,2319,"148 miles / 239 km","32 minutes",Southwest Airlines
AUS,HRL,367,"273 miles / 440 km","46 minutes",Southwest Airlines
AUS,IAD,670,"1,297 miles / 2088 km","2 hours, 44 minutes",Frontier Airlines
AUS,IAH,3691,"140 miles / 226 km","33 minutes",<undefined>
