iata,country_code,region_name,icao,airport,latitude,longitude
BUR,US,California,KBUR,Bob Hope Airport,34.2007,-118.359
CAK,US,Ohio,KCAK,Akron-Canton Airport,40.9161,-81.4422
GJT,US,Colorado,KGJT,Grand Junction Regional Airport (Walker Field),39.1224,-108.527
HSV,US,Alabama,KHSV,Huntsville International Airport (Carl T. Jones Field),34.6372,-86.7751
LEX,US,Kentucky,KLEX,Blue Grass Airport,38.0365,-84.6059
MRY,US,California,KMRY,Monterey Regional Airport,36.587,-121.843
BTV,US,Vermont,KBTV,Burlington International Airport,44.4719,-73.1533
EGE,US,Colorado,KEGE,Eagle County Regional Airport,39.6426,-106.918
ICT,US,Kansas,KICT,Wichita Dwight D. Eisenhower National Airport,37.6499,-97.4331
JAN,US,Mississippi,KJAN,Jackson-Evers International Airport,32.3112,-90.0759
TWF,US,Idaho,KTWF,Magic Valley Regional Airport (Joslin Field),42.4818,-114.488
FNT,US,Michigan,KFNT,Bishop International Airport,42.9654,-83.7436
GSP,US,South Carolina,KGSP,Greenville-Spartanburg International Airport,34.8957,-82.2189
HPN,US,New York,KHPN,Westchester County Airport,41.067,-73.7076
KOA,US,Hawaii,PHKO,Kona International Airport at Keahole,19.7388,-156.046
PWM,US,Maine,KPWM,Portland International Jetport,43.6462,-70.3093
SBA,US,California,KSBA,Santa Barbara Municipal Airport,34.4262,-119.84
SGF,US,Missouri,KSGF,Springfield-Branson National Airport,37.2457,-93.3886
STT,VI,"Virgin Islands, U.S.",TIST,Cyril E. King Airport,18.3373,-64.9734
ATW,US,Wisconsin,KATW,Appleton International Airport,44.2581,-88.5191
BFL,US,California,KBFL,Meadows Field Airport,35.4336,-119.057
HDN,US,Colorado,KHDN,Yampa Valley Airport,40.4812,-107.218
CAE,US,South Carolina,KCAE,Columbia Metropolitan Airport,33.9388,-81.1195
CID,US,Iowa,KCID,The Eastern Iowa Airport,41.8847,-91.7108
LIH,US,Hawaii,PHLI,Lihue Airport,21.976,-159.339
MDT,US,Pennsylvania,KMDT,Harrisburg International Airport,40.1935,-76.7634
MFR,US,Oregon,KMFR,Rogue Valley International-Medford Airport,42.3742,-122.873
MLI,US,Illinois,KMLI,Quad City International Airport,41.4485,-90.5075
PIA,US,Illinois,KPIA,General Wayne A. Downing Peoria International Airport,40.6642,-89.6933
ASE,US,Colorado,KASE,Aspen-Pitkin County Airport (Sardy Field),39.2232,-106.869
BTR,US,Louisiana,KBTR,Baton Rouge Metropolitan Airport (Ryan Field),30.5332,-91.1496
BZN,US,Montana,KBZN,Bozeman Yellowstone International Airport (Gallatin Field),45.7775,-111.153
IDA,US,Idaho,KIDA,Idaho Falls Regional Airport,43.5136,-112.071
ISP,US,New York,KISP,Long Island MacArthur Airport,40.7952,-73.1002
MYR,US,South Carolina,KMYR,Myrtle Beach International Airport,33.6797,-78.9283
PNS,US,Florida,KPNS,Pensacola International Airport,30.4734,-87.1866
ABE,US,Pennsylvania,KABE,Lehigh Valley International Airport,40.6521,-75.4408
FSD,US,South Dakota,KFSD,Sioux Falls Regional Airport (Joe Foss Field),43.582,-96.7419
JAC,US,Wyoming,KJAC,Jackson Hole Airport,43.6073,-110.738
LBB,US,Texas,KLBB,Lubbock Preston Smith International Airport,33.6636,-101.823
LNK,US,Nebraska,KLNK,Lincoln Airport,40.851,-96.7592
MTJ,US,Colorado,KMTJ,Montrose Regional Airport,38.5098,-107.894
TLH,US,Florida,KTLH,Tallahassee International Airport,30.3965,-84.3503
AMA,US,Texas,KAMA,Rick Husband Amarillo International Airport,35.2194,-101.706
AVL,US,North Carolina,KAVL,Asheville Regional Airport,35.4362,-82.5418
AVP,US,Pennsylvania,KAVP,Wilkes-Barre/Scranton International Airport,41.3385,-75.7234
BGR,US,Maine,KBGR,Bangor International Airport,44.8074,-68.8281
CHA,US,Tennessee,KCHA,Chattanooga Metropolitan Airport (Lovell Field),35.0353,-85.2038
CRW,US,West Virginia,KCRW,Yeager Airport,38.3731,-81.5932
DAB,US,Florida,KDAB,Daytona Beach International Airport,29.1799,-81.0581
EUG,US,Oregon,KEUG,Eugene Airport (Mahlon Sweet Airport),44.1246,-123.212
FAR,US,North Dakota,KFAR,Hector International Airport,46.9207,-96.8158
GPT,US,Mississippi,KGPT,Gulfport-Biloxi International Airport,30.4073,-89.0701
JNU,US,Alaska,PAJN,Juneau International Airport,58.355,-134.576
LAN,US,Michigan,KLAN,Capital Region International Airport,42.7787,-84.5874
MAF,US,Texas,KMAF,Midland International Air and Space Port,31.9425,-102.202
PIH,US,Idaho,KPIH,Pocatello Regional Airport,42.9098,-112.596
RDM,US,Oregon,KRDM,Roberts Field,44.2541,-121.15
TVC,US,Michigan,KTVC,Cherry Capital Airport,44.7414,-85.5822
VPS,US,Florida,KVPS,Destin-Fort Walton Beach Airport / Eglin Air Force Base,30.4832,-86.5254
BMI,US,Illinois,KBMI,Central Illinois Regional Airport,40.4771,-88.9159
EVV,US,Indiana,KEVV,Evansville Regional Airport,38.037,-87.5324
FCA,US,Montana,KGPI,Glacier Park International Airport,48.3105,-114.256
GTF,US,Montana,KGTF,Great Falls International Airport,47.482,-111.371
MGM,US,Alabama,KMGM,Montgomery Regional Airport (Dannelly Field),32.3006,-86.394
PHF,US,Virginia,KPHF,Newport News/Williamsburg International Airport,37.1319,-76.493
SBN,US,Indiana,KSBN,South Bend International Airport,41.7087,-86.3173
SBP,US,California,KSBP,San Luis Obispo County Regional Airport (McChesney Field),35.2368,-120.642
SHV,US,Louisiana,KSHV,Shreveport Regional Airport,32.4466,-93.8256
SWF,US,New York,KSWF,New York Stewart International Airport,41.5042,-74.1047
CWA,US,Wisconsin,KCWA,Central Wisconsin Airport,44.7776,-89.6668
FAI,US,Alaska,PAFA,Fairbanks International Airport,64.8151,-147.856
FWA,US,Indiana,KFWA,Fort Wayne International Airport,40.9785,-85.1951
GUC,US,Colorado,KGUC,Gunnison-Crested Butte Regional Airport,38.5339,-106.933
HRL,US,Texas,KHRL,Valley International Airport,26.2285,-97.6544
MOB,US,Alabama,KMOB,Mobile Regional Airport,30.6912,-88.2428
MSO,US,Montana,KMSO,Missoula International Airport,46.9163,-114.091
RAP,US,South Dakota,KRAP,Rapid City Regional Airport,44.0453,-103.057
RFD,US,Illinois,KRFD,Chicago Rockford International Airport,42.1953,-89.0972
ROA,US,Virginia,KROA,Roanoke-Blacksburg Regional Airport (Woodrum Field),37.3255,-79.9754
SPI,US,Illinois,KSPI,Abraham Lincoln Capital Airport,39.8441,-89.6779
YUM,US,Arizona,KNYL,Yuma International Airport / MCAS Yuma,32.6566,-114.606
ACV,US,California,KACV,Arcata-Eureka Airport,40.9781,-124.109
